,Address,Locality,Price,Bedrooms,Full Bathrooms,Half Bathrooms,Sq Feet,Lot Size
0,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
1,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",4,4,,,0.21 Acres
2,600 Talladega,"Rock Springs, WY 82901","$396,900",5,3,,"3,154",
3,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,3,1,"3,076","Under 1/2 Acre, "
4,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,3,,"1,172","Under 1/2 Acre, "
5,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,2,,"1,932",0.27 Acres
6,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,3,,"1,676","Under 1/2 Acre, "
7,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,2,,"1,344","Under 1/2 Acre, "
8,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,2,,"1,920","Under 1/2 Acre, "
9,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,2,,"1,664",2.02 Acres
10,32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324","$299,900",3,2,,"2,318",
11,32750 S Shangrila Drive,"Black Canyon City, AZ 85324","$167,500",3,2,,"2,120",
12,0000 Black Canyon Highway,"Black Canyon City, AZ 85324","$150,000",,,,,5 Acres
13,34775 S CHOLLA Drive,"Black Canyon City, AZ 85324","$129,500",3,2,,"1,220",
14,33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324","$129,000",4,2,,"2,000",
15,34263 S Bertha Street,"Black Canyon City, AZ 85324","$80,000",5,2,,"2,260",
16,33160 S Canyon Road,"Black Canyon City, AZ 85324","$77,900",3,2,,"1,248",
17,19421 E Todd Evans Road,"Black Canyon City, AZ 85324","$70,500",3,2,,"1,404",
18,18688 E AGUA Vista,"Black Canyon City, AZ 85324","$70,000",,,,,0.7 Acres
19,50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324","$67,500",,,,,3 Acres
20,20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324","$54,900",,,,,
21,33259 S Canyon Road,"Black Canyon City, AZ 85324","$45,600",3,1,,"1,056",
22,34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324","$40,000",2,1,,784,Under 1/2 Acre
23,19260 E Scenic Loop Road,"Black Canyon City, AZ 85324","$30,000",,,,,2.35 Acres
24,19000 E MAREN Avenue,"Black Canyon City, AZ 85324","$29,000",,,,,2.05 Acres
25,19350 E SAGUARO Drive,"Black Canyon City, AZ 85324","$28,995",,,,,0.73 Acres
26,20650 E Amethyst Place,"Black Canyon City, AZ 85324","$15,000",,,,,0.31 Acres
27,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
28,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",4,4,,,0.21 Acres
29,600 Talladega,"Rock Springs, WY 82901","$396,900",5,3,,"3,154",
30,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,3,1,"3,076","Under 1/2 Acre, "
31,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,3,,"1,172","Under 1/2 Acre, "
32,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,2,,"1,932",0.27 Acres
33,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,3,,"1,676","Under 1/2 Acre, "
34,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,2,,"1,344","Under 1/2 Acre, "
35,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,2,,"1,920","Under 1/2 Acre, "
36,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,2,,"1,664",2.02 Acres
